clusters_n,clusters_out,leaves,avg_cl_size,lrgst_cl_size,noise_size,silhouette,davies_bouldin
2,2,3043,1521.5,2978,0,0.6689235099270824,0.07850243478879897
5,5,3043,608.6,1457,0,0.14889871086410236,0.07850243478879897
10,10,3043,304.3,1054,0,0.2448822908968008,0.07850243478879897
15,15,3043,202.86666666666667,609,0,0.21883857744672583,0.07850243478879897
20,20,3043,152.15,518,0,0.18572456122087286,0.07850243478879897
25,25,3043,121.72,418,0,0.16669645098900296,0.07850243478879897
