algo,ep,mins,clusters,avg_cl_size,lrgst_cl_size,noise_size,silhouette,davies_bouldin
kd_tree,5,1,54,56.351851851851855,2970,0,0.27617127341690034,0.37324272351716564
brute,5,1,54,56.351851851851855,2970,0,0.27617127341690034,0.37324272351716564
auto,5,5,2,1488.5,2970,0,0.5073128918906544,2.331228216519803
ball_tree,5,5,2,1488.5,2970,0,0.5073128918906544,2.331228216519803
kd_tree,5,5,2,1488.5,2970,0,0.5073128918906544,2.331228216519803
brute,5,5,2,1488.5,2970,0,0.5073128918906544,2.331228216519803
auto,5,10,1,2966.0,2966,0,,
ball_tree,5,10,1,2966.0,2966,0,,
kd_tree,5,10,1,2966.0,2966,0,,
brute,5,10,1,2966.0,2966,0,,
auto,5,20,1,2965.0,2965,0,,
ball_tree,5,20,1,2965.0,2965,0,,
kd_tree,5,20,1,2965.0,2965,0,,
brute,5,20,1,2965.0,2965,0,,
auto,5,50,1,2958.0,2958,0,,
ball_tree,5,50,1,2958.0,2958,0,,
kd_tree,5,50,1,2958.0,2958,0,,
brute,5,50,1,2958.0,2958,0,,
auto,10,1,11,276.6363636363636,3021,0,0.6820780090651901,0.3370081030605881
ball_tree,10,1,11,276.6363636363636,3021,0,0.6820780090651901,0.3370081030605881
kd_tree,10,1,11,276.6363636363636,3021,0,0.6820780090651901,0.3370081030605881
brute,10,1,11,276.6363636363636,3021,0,0.6820780090651901,0.3370081030605881
auto,10,5,2,1513.5,3021,0,0.6884225562959847,1.8260881188726346
ball_tree,10,5,2,1513.5,3021,0,0.6884225562959847,1.8260881188726346
kd_tree,10,5,2,1513.5,3021,0,0.6884225562959847,1.8260881188726346
brute,10,5,2,1513.5,3021,0,0.6884225562959847,1.8260881188726346
auto,10,10,1,3021.0,3021,0,,
ball_tree,10,10,1,3021.0,3021,0,,
kd_tree,10,10,1,3021.0,3021,0,,
brute,10,10,1,3021.0,3021,0,,
auto,10,20,1,3018.0,3018,0,,
ball_tree,10,20,1,3018.0,3018,0,,
kd_tree,10,20,1,3018.0,3018,0,,
brute,10,20,1,3018.0,3018,0,,
auto,10,50,1,3013.0,3013,0,,
ball_tree,10,50,1,3013.0,3013,0,,
kd_tree,10,50,1,3013.0,3013,0,,
brute,10,50,1,3013.0,3013,0,,
auto,15,1,5,608.6,3039,0,0.8020760698718002,0.12088457818424958
ball_tree,15,1,5,608.6,3039,0,0.8020760698718002,0.12088457818424958
kd_tree,15,1,5,608.6,3039,0,0.8020760698718002,0.12088457818424958
brute,15,1,5,608.6,3039,0,0.8020760698718002,0.12088457818424958
auto,15,5,1,3038.0,3038,0,,
ball_tree,15,5,1,3038.0,3038,0,,
kd_tree,15,5,1,3038.0,3038,0,,
brute,15,5,1,3038.0,3038,0,,
auto,15,10,1,3037.0,3037,0,,
ball_tree,15,10,1,3037.0,3037,0,,
kd_tree,15,10,1,3037.0,3037,0,,
brute,15,10,1,3037.0,3037,0,,
auto,15,20,1,3037.0,3037,0,,
ball_tree,15,20,1,3037.0,3037,0,,
kd_tree,15,20,1,3037.0,3037,0,,
brute,15,20,1,3037.0,3037,0,,
auto,15,50,1,3037.0,3037,0,,
ball_tree,15,50,1,3037.0,3037,0,,
kd_tree,15,50,1,3037.0,3037,0,,
brute,15,50,1,3037.0,3037,0,,
auto,20,1,3,1014.3333333333334,3041,0,0.8054831684010493,0.11957613145029895
ball_tree,20,1,3,1014.3333333333334,3041,0,0.8054831684010493,0.11957613145029895
kd_tree,20,1,3,1014.3333333333334,3041,0,0.8054831684010493,0.11957613145029895
brute,20,1,3,1014.3333333333334,3041,0,0.8054831684010493,0.11957613145029895
auto,20,5,1,3041.0,3041,0,,
ball_tree,20,5,1,3041.0,3041,0,,
kd_tree,20,5,1,3041.0,3041,0,,
brute,20,5,1,3041.0,3041,0,,
auto,20,10,1,3041.0,3041,0,,
ball_tree,20,10,1,3041.0,3041,0,,
kd_tree,20,10,1,3041.0,3041,0,,
brute,20,10,1,3041.0,3041,0,,
auto,20,20,1,3041.0,3041,0,,
ball_tree,20,20,1,3041.0,3041,0,,
kd_tree,20,20,1,3041.0,3041,0,,
brute,20,20,1,3041.0,3041,0,,
auto,20,50,1,3041.0,3041,0,,
ball_tree,20,50,1,3041.0,3041,0,,
kd_tree,20,50,1,3041.0,3041,0,,
brute,20,50,1,3041.0,3041,0,,
auto,25,1,2,1521.5,3042,0,0.8705653378677953,0.08927185473089698
ball_tree,25,1,2,1521.5,3042,0,0.8705653378677953,0.08927185473089698
kd_tree,25,1,2,1521.5,3042,0,0.8705653378677953,0.08927185473089698
brute,25,1,2,1521.5,3042,0,0.8705653378677953,0.08927185473089698
auto,25,5,1,3042.0,3042,0,,
ball_tree,25,5,1,3042.0,3042,0,,
kd_tree,25,5,1,3042.0,3042,0,,
brute,25,5,1,3042.0,3042,0,,
auto,25,10,1,3042.0,3042,0,,
ball_tree,25,10,1,3042.0,3042,0,,
kd_tree,25,10,1,3042.0,3042,0,,
brute,25,10,1,3042.0,3042,0,,
auto,25,20,1,3042.0,3042,0,,
ball_tree,25,20,1,3042.0,3042,0,,
kd_tree,25,20,1,3042.0,3042,0,,
brute,25,20,1,3042.0,3042,0,,
auto,25,50,1,3042.0,3042,0,,
ball_tree,25,50,1,3042.0,3042,0,,
kd_tree,25,50,1,3042.0,3042,0,,
brute,25,50,1,3042.0,3042,0,,
auto,30,1,2,1521.5,3042,0,0.8705653378677953,0.08927185473089698
ball_tree,30,1,2,1521.5,3042,0,0.8705653378677953,0.08927185473089698
kd_tree,30,1,2,1521.5,3042,0,0.8705653378677953,0.08927185473089698
brute,30,1,2,1521.5,3042,0,0.8705653378677953,0.08927185473089698
auto,30,5,1,3042.0,3042,0,,
ball_tree,30,5,1,3042.0,3042,0,,
kd_tree,30,5,1,3042.0,3042,0,,
brute,30,5,1,3042.0,3042,0,,
auto,30,10,1,3042.0,3042,0,,
ball_tree,30,10,1,3042.0,3042,0,,
kd_tree,30,10,1,3042.0,3042,0,,
brute,30,10,1,3042.0,3042,0,,
auto,30,20,1,3042.0,3042,0,,
ball_tree,30,20,1,3042.0,3042,0,,
kd_tree,30,20,1,3042.0,3042,0,,
brute,30,20,1,3042.0,3042,0,,
auto,30,50,1,3042.0,3042,0,,
ball_tree,30,50,1,3042.0,3042,0,,
kd_tree,30,50,1,3042.0,3042,0,,
brute,30,50,1,3042.0,3042,0,,
